service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
22162,1,1,1,1,1,1,1,20150708,20191230,Ежедневно
20830,1,1,1,1,1,1,1,20150520,20191230,Ежедневно
26176,1,1,1,1,1,1,1,20160215,20191230,Ежедневно
24113,1,1,1,1,1,1,1,20150923,20191230,Ежедневно
26357,1,1,1,1,1,1,1,20160301,20191230,Ежедневно
26356,1,1,1,1,1,0,0,20160301,20160304,Будние дни
26355,0,0,0,0,0,1,1,20160301,20160304,Выходные дни
25549,1,1,1,1,1,0,0,20160111,20191230,Будние дни
25812,0,0,0,0,0,1,1,20160111,20191230,Выходные дни
26358,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26359,1,1,1,1,1,0,0,20160301,20191230,Будние дни
26402,0,0,0,0,0,1,1,20160302,20191230,Выходные дни
26401,1,1,1,1,1,0,0,20160302,20160304,Будние дни
26393,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26394,1,1,1,1,0,0,0,20160301,20191230,Будние дни кроме пятницы
26395,0,0,0,0,1,0,0,20160301,20191230,Пятница
26354,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26353,1,1,1,1,1,0,0,20160301,20191230,Будние дни
24419,1,1,1,1,1,1,1,20151006,20191230,Ежедневно
25133,0,0,0,0,0,1,1,20151207,20191230,Выходные дни
25134,0,0,0,0,1,0,0,20151207,20191230,Пятница
25130,1,1,1,1,0,0,0,20151207,20191230,Будние дни кроме пятницы
26329,1,1,1,1,1,1,1,20160301,20191230,Ежедневно
26130,1,1,1,1,1,0,0,20160208,20191230,Будние дни
26131,0,0,0,0,0,1,1,20160208,20191230,Выходные дни
25898,1,1,1,1,1,0,0,20160121,20191230,Будние дни
25899,0,0,0,0,0,1,1,20160121,20191230,Выходные дни
25949,0,0,0,0,0,1,1,20160127,20191230,Выходные дни
25948,1,1,1,1,1,0,0,20160127,20191230,Будние дни
25950,0,0,0,0,0,1,1,20160127,20191230,Выходные дни
25951,1,1,1,1,1,0,0,20160127,20191230,Будние дни
2999,1,1,1,1,1,1,1,20120412,20191230,Ежедневно
25957,1,1,1,1,1,1,1,20160127,20191230,Ежедневно
23997,0,0,0,0,0,1,1,20150928,20191230,Выходные дни
25236,1,1,1,1,1,0,0,20151215,20191230,Будние дни
25620,1,1,1,1,1,0,0,20160111,20191230,Будние дни
25617,0,0,0,0,0,1,1,20160101,20191230,Выходные дни
25900,1,1,1,1,1,0,0,20160121,20191230,Будние дни
25901,0,0,0,0,0,1,1,20160121,20191230,Выходные дни
25543,0,0,0,0,0,1,1,20151230,20191230,Выходные дни
25542,1,1,1,1,1,0,0,20151230,20191230,Будние дни
26335,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26336,1,1,1,1,1,0,0,20160301,20191230,Будние дни
25205,1,1,1,1,1,0,0,20160111,20191230,Будние дни
25206,0,0,0,0,0,1,1,20160111,20191230,Выходные дни
24897,1,1,1,1,1,1,1,20151121,20191230,Ежедневно
25052,0,0,0,0,0,1,1,20151201,20191230,Выходные дни
25051,1,1,1,1,1,0,0,20151201,20191230,Будние дни
25995,1,1,1,1,1,0,0,20160208,20191230,Будние дни
25994,0,0,0,0,0,1,1,20160208,20191230,Выходные дни
25558,1,1,1,1,1,0,0,20160101,20191230,Будние дни
25557,0,0,0,0,0,1,1,20160101,20191230,Выходные дни
23651,1,1,1,1,1,0,0,20150901,20191230,Будние дни
24662,1,1,1,1,0,0,0,20151105,20191230,Будние дни кроме пятницы
24665,0,0,0,0,1,0,0,20151105,20191230,Пятница
25381,0,0,0,0,0,1,1,20160108,20191230,Выходные дни
26075,0,0,0,0,0,1,1,20160208,20191230,Выходные дни
26074,1,1,1,1,1,0,0,20160208,20191230,Будние дни
25913,1,1,1,1,1,1,1,20160123,20191230,Ежедневно
26330,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26331,1,1,1,1,1,0,0,20160301,20191230,Будние дни
24012,1,1,1,1,1,1,1,20150928,20191230,Ежедневно
24903,1,1,1,1,1,1,1,20151121,20191230,Ежедневно
25219,1,1,1,1,1,1,1,20151208,20191230,Ежедневно
25319,1,1,1,1,1,1,1,20151222,20191230,Ежедневно
19476,1,1,1,1,1,0,0,20150325,20191230,Будние дни
26317,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26318,1,1,1,1,1,0,0,20160301,20191230,Будние дни
26340,1,1,1,1,1,1,1,20160301,20191230,Ежедневно
25919,1,1,1,1,1,0,0,20160123,20191230,Будние дни
25918,0,0,0,0,0,1,1,20160123,20191230,Выходные дни
26321,0,0,0,0,1,0,0,20160301,20191230,Пятница
26323,1,1,1,1,0,0,0,20160301,20191230,Будние дни кроме пятницы
26320,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
19790,0,0,0,0,0,1,1,20150426,20191230,Выходные дни
19789,1,1,1,1,1,0,0,20150426,20191230,Будние дни
26326,1,1,1,1,1,0,0,20160301,20191230,Будние дни
26325,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
25137,1,1,1,1,1,0,0,20151207,20191230,Будние дни
25127,0,0,0,0,0,1,1,20151207,20191230,Выходные дни
25060,0,0,0,0,0,1,1,20151201,20191230,Выходные дни
25059,1,1,1,1,1,0,0,20151201,20191230,Будние дни
25376,1,1,1,1,1,1,1,20160102,20191230,Ежедневно
26342,1,1,1,1,1,1,0,20160301,20191230,Будние и субботние дни
26341,0,0,0,0,0,0,1,20160301,20191230,Воскресенье
26247,0,0,0,0,0,1,1,20160225,20191230,Выходные дни
26246,1,1,1,1,1,0,0,20160225,20191230,Будние дни
25050,0,0,0,0,0,1,1,20151201,20191230,Выходные дни
25049,1,1,1,1,1,0,0,20151201,20160308,Будние дни
26289,1,1,1,1,1,0,0,20160224,20191230,Будние дни
26143,1,1,1,1,1,0,0,20160208,20160304,Будние дни
26144,0,0,0,0,0,1,1,20160208,20191230,Выходные дни
24439,1,1,1,1,1,1,1,20151012,20191230,Ежедневно
25100,1,1,1,1,1,0,0,20151204,20160302,Будние дни
25101,0,0,0,0,0,1,0,20151204,20160302,Суббота
24529,1,1,1,1,1,1,1,20151015,20191230,Ежедневно
26338,0,0,0,0,0,1,1,20160301,20191230,Выходные дни
26339,1,1,1,1,1,0,0,20160301,20191230,Будние дни
25611,0,0,0,0,0,1,1,20160103,20191230,Выходные дни
25608,1,1,1,1,1,0,0,20151231,20191230,Будние дни
24528,1,1,1,1,1,0,0,20151019,20191230,Будние дни
25289,1,1,1,1,1,1,1,20151221,20191230,Ежедневно
26283,1,1,1,1,1,0,0,20160224,20160308,Будние дни
26284,0,0,0,0,0,1,1,20160224,20191230,Выходные дни
25438,0,0,0,0,0,1,1,20160108,20191230,Выходные дни
25624,1,1,1,1,1,0,0,20160101,20191230,Будние дни
25382,1,1,1,1,1,1,1,20160102,20191230,Ежедневно
26319,1,1,1,1,1,1,1,20160301,20191230,Ежедневно
24956,1,1,1,1,1,1,1,20151119,20191230,Ежедневно
26267,1,1,1,1,1,0,0,20160219,20191230,Будние дни
26268,0,0,0,0,0,1,1,20160219,20191230,Выходные дни
25251,1,1,1,1,1,1,1,20151215,20191230,Ежедневно
26262,1,1,1,1,1,1,1,20160225,20191230,Ежедневно
8029,0,0,0,0,0,1,1,20131003,20191230,Выходные дни
26295,1,1,1,1,0,0,0,20160224,20191230,Будние дни кроме пятницы
26292,0,0,0,0,1,0,0,20160224,20191230,Пятница
22745,1,1,1,1,1,1,1,20150810,20191230,Ежедневно
26314,1,1,1,1,1,1,1,20160301,20191230,Ежедневно
23295,0,0,0,0,0,1,1,20150901,20191230,Выходные дни
25033,1,1,1,1,1,0,0,20151126,20191230,Будние дни
24604,0,0,0,0,0,1,1,20150725,20191230,Выходные дни
26244,1,1,1,1,1,0,0,20160301,20191230,Будние дни
25634,1,1,1,1,1,1,1,20160101,20191230,Ежедневно
26398,1,1,1,1,1,1,1,20160302,20191230,Ежедневно
26107,0,0,0,0,0,1,1,20160204,20191230,Выходные дни
26106,1,1,1,1,1,0,0,20160204,20191230,Будние дни
25209,1,1,1,1,1,1,1,20160111,20191230,Ежедневно
24301,1,1,1,1,1,1,1,20151012,20191230,Ежедневно
26056,1,1,1,1,1,1,1,20160208,20191230,Ежедневно
25325,0,0,0,0,0,1,1,20151222,20191230,Выходные дни
