stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
17609,17609,"ПР. АВИАКОНСТРУКТОРОВ, 47",60.027851,30.222640,0,2,bus
17611,17611,"ПР. АВИАКОНСТРУКТОРОВ, 32",60.027507,30.221964,0,2,bus
17629,17629,"ПОНТОННЫЙ, ВОКЗАЛ",59.785067,30.627792,0,2,bus
17630,17630,ДОРОГА НА КОЛПИНО,59.775908,30.653787,0,2,bus
17631,17631,"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ",59.760005,30.765173,0,2,bus
17658,17658,"ОТРАДНОЕ, СУДОРЕМ.МАСТЕРСКИЕ",59.760150,30.763510,0,2,bus
17659,17659,ДОРОГА НА КОЛПИНО,59.776227,30.654334,0,2,bus
17660,17660,"ПОНТОННЫЙ, ВОКЗАЛ",59.785698,30.626471,0,2,bus
17551,17551,СЧАСТЛИВАЯ УЛ.,59.846170,30.270596,0,2,bus
17558,17558,УЛ РИХАРДА ЗОРГЕ УГ УЛ ДОБЛЕСТИ,59.850624,30.178328,0,2,bus
17575,17575,СЕВЕРНЫЙ ПР.,60.031565,30.364430,0,2,bus
17591,17591,"ПРЕДПОРТОВАЯ УЛ., 10",59.832158,30.306151,0,2,bus
17592,17592,СТ. ПРЕДПОРТОВАЯ,59.832179,30.295680,0,2,bus
17510,17510,ЗАМШИНА УЛ.,59.966858,30.393806,0,2,bus
17409,17409,"УСТЬ-ИЖОРА, УЛ.ТРУДА",59.797670,30.604840,0,2,bus
17410,17410,"УСТЬ-ИЖОРА, УЛ.ТРУДА",59.797590,30.604595,0,2,bus
17452,17452,УЛ. ДИМИТРОВА,59.851573,30.398738,0,2,bus
17470,17470,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" [ВЫСАДКИ И ПОСАДКИ НЕТ]",60.003503,30.439596,0,2,bus
17469,17469,НАБ. РЕКИ ФОНТАНКИ,59.915931,30.279356,0,2,bus
17874,17874,"ПОС. ВАРТЕМЯГИ, ПОЧТА",60.166413,30.316319,0,2,bus
17875,17875,"ПОС. ВАРТЕМЯГИ,  БОЛЬНИЦА",60.170130,30.319353,0,2,bus
17872,17872,"ПОС. ВАРТЕМЯГИ, 9 КМ",60.163626,30.313728,0,2,bus
17873,17873,"ПОС. ВАРТЕМЯГИ, ПОЧТА",60.166401,30.316807,0,2,bus
17878,17878,"ПОС. ВАРТЕМЯГИ, СТОЛОВАЯ",60.176087,30.315624,0,2,bus
17876,17876,"ПОС. ВАРТЕМЯГИ, БОЛЬНИЦА",60.170094,30.318910,0,2,bus
17877,17877,"ПОС. ВАРТЕМЯГИ, СТОЛОВАЯ",60.176157,30.316185,0,2,bus
17859,17859,"ПОС. ДРАНИШНИКИ, СОВХОЗ № 3",60.135491,30.258040,0,2,bus
17858,17858,"ПОС. ДРАНИШНИКИ, СОВХОЗ № 3",60.135420,30.258405,0,2,bus
17857,17857,СМОЛЬНЫЙ,59.946001,30.389299,0,2,bus
17856,17856,"ПОС.ДРАНИШНИКИ,4 КМ",60.129225,30.257029,0,2,bus
17863,17863,ПОС. ЛУППОЛОВО,60.152158,30.276679,0,2,bus
17862,17862,6 КМ,60.145747,30.269694,0,2,bus
17860,17860,6 КМ,60.145762,30.270228,0,2,bus
17867,17867,ОТДЕЛЕНИЕ СОВХОЗА №3,60.157181,30.291981,0,2,bus
17865,17865,ПОС. ЛУППОЛОВО,60.152178,30.276201,0,2,bus
17871,17871,"ПОС. ВАРТЕМЯГИ, 9 КМ",60.163663,30.314173,0,2,bus
17870,17870,8 КМ,60.161233,30.305322,0,2,bus
17869,17869,8 КМ,60.161099,30.305357,0,2,bus
17868,17868,ОТДЕЛЕНИЕ СОВХОЗА №3,60.157317,30.291876,0,2,bus
17904,17904,"ПОС. АГАЛАТОВО, ЖИЛГОРОДОК",60.218120,30.295390,0,2,bus
17905,17905,ПР. ЧЕРНЫШЕВСКОГО,59.948980,30.360020,0,2,bus
17907,17907,"ПОС. АГАЛАТОВО, ДОР. НА СЕРТОЛОВО",60.219844,30.288996,0,2,bus
17908,17908,"ПОС. АГАЛАТОВО, ДОР. НА СЕРТОЛОВО",60.219704,30.291769,0,2,bus
17911,17911,ГАГАРИНСКАЯ УЛ.,59.948370,30.343690,0,2,bus
