route_id,service_id,trip_id,direction_id,shape_id
3918,22162,7566537,1,track-30647
3918,22162,7566538,0,track-30646
3918,22162,7566539,1,track-30647
3918,22162,7566540,0,track-30646
3918,22162,7566541,1,track-30647
3918,22162,7566542,0,track-30646
3918,22162,7566543,1,track-30647
3918,22162,7566544,0,track-30646
3918,22162,7566545,1,track-30647
3918,22162,7566547,0,track-30646
3918,22162,7566548,1,track-30647
3918,22162,7566549,0,track-30646
3918,22162,7566550,1,track-30647
3918,22162,7566551,0,track-30646
3918,22162,7566552,1,track-30647
3918,22162,7566553,0,track-30646
3918,22162,7566554,1,track-30647
3918,22162,7566555,0,track-30646
3918,22162,7566556,1,track-30647
3918,22162,7566557,0,track-30646
3918,22162,7566558,1,track-30647
3918,22162,7566560,0,track-30646
3918,22162,7566561,1,track-30647
3918,22162,7566562,0,track-30646
3918,22162,7566563,1,track-30647
3918,22162,7566564,0,track-30646
3918,22162,7566565,1,track-30647
3918,22162,7566566,0,track-30646
3918,22162,7566567,1,track-30647
3918,22162,7566568,0,track-30646
3918,22162,7566569,1,track-30647
3918,22162,7566571,0,track-30646
3918,22162,7566572,1,track-30647
3918,22162,7566573,0,track-30646
3918,22162,7566574,1,track-30647
3918,22162,7566575,0,track-30646
3918,22162,7566576,1,track-30647
3918,22162,7566577,0,track-30646
3918,22162,7566578,1,track-30647
4055,20830,7174964,1,track-29616
4055,20830,7174965,0,track-29615
4055,20830,7174966,1,track-29616
4055,20830,7174967,0,track-29615
4055,20830,7174968,1,track-29616
4055,20830,7174970,0,track-29615
4055,20830,7174971,1,track-29616
4055,20830,7174972,0,track-29615
4055,20830,7174973,1,track-29616
4055,20830,7174974,0,track-29615
4055,20830,7174975,1,track-29616
4055,20830,7174977,0,track-29615
4055,20830,7174978,1,track-29616
4055,20830,7174979,0,track-29615
4055,20830,7174980,1,track-29616
4055,20830,7174981,0,track-29615
4055,20830,7174982,1,track-29616
4055,20830,7174984,0,track-29615
4055,20830,7174985,1,track-29616
4055,20830,7174986,0,track-29615
4055,20830,7174987,1,track-29616
4055,20830,7174989,1,track-29616
4055,20830,7174990,0,track-29615
4055,20830,7174991,1,track-29616
4055,20830,7174992,0,track-29615
4055,20830,7174993,1,track-29616
4055,20830,7174995,0,track-29615
4055,20830,7174996,1,track-29616
4055,20830,7174997,0,track-29615
4055,20830,7174998,1,track-29616
4055,20830,7174999,0,track-29615
4055,20830,7175000,1,track-29616
4055,20830,7175002,0,track-29615
4055,20830,7175003,1,track-29616
4055,20830,7175004,0,track-29615
4055,20830,7175005,1,track-29616
4055,20830,7175006,0,track-29615
4055,20830,7175007,1,track-29616
4055,20830,7175009,0,track-29615
4055,20830,7175010,1,track-29616
4055,20830,7175011,0,track-29615
4095,26176,9369457,0,track-35299
4095,26176,9369458,1,track-35300
4095,26176,9369459,0,track-35299
4095,26176,9369460,1,track-35300
4095,26176,9369462,0,track-35299
